Author ID,Author Name,Author URL
1435112888,Arturo Alvarez-Roldan,https://www.semanticscholar.org/author/1435112888
101949768,I. Parra,https://www.semanticscholar.org/author/101949768
9787062,Juan F. Gamella,https://www.semanticscholar.org/author/9787062
115925578,Margot Belet,https://www.semanticscholar.org/author/115925578
118571049,Cornelia Van Niejenhuis,https://www.semanticscholar.org/author/118571049
47896859,Liang Shang,https://www.semanticscholar.org/author/47896859
4437933,S. Arli,https://www.semanticscholar.org/author/4437933
39980603,A. Bakan,https://www.semanticscholar.org/author/39980603
145973450,Sabine H. Smith,https://www.semanticscholar.org/author/145973450
51950718,Daniel J. Paracka,https://www.semanticscholar.org/author/51950718
1988210,Tatsuya Imai,https://www.semanticscholar.org/author/1988210
115746472,S. Pinzi,https://www.semanticscholar.org/author/115746472
4299061,J. Valentim,https://www.semanticscholar.org/author/4299061
3685360,V. Bonnot,https://www.semanticscholar.org/author/3685360
1405321724,Silvia Krauth-Gruber,https://www.semanticscholar.org/author/1405321724
1422513578,Sara Estrada-Villalta,https://www.semanticscholar.org/author/1422513578
87482667,L. G. Ordonez,https://www.semanticscholar.org/author/87482667
48483880,G. Leone,https://www.semanticscholar.org/author/48483880
